id,sentence,neighborhood,theme,year
31735070123652,"°dick’s sporting goods stores in cranberry square, hempﬁeld point plaza in’ greensburg, homestead waterfront, monroeville mall annex, n orthway mall, mall at robinson, south hills village and strabane square/ washington.",Cranberry Township,retail,2000-2005
31735070123678,"‘ he was a member of the lions club and the bible baptist church of cranberry township, and president of the board of directors of the marshall township sanitary authority.",Cranberry Township,obituary,2000-2005
31735070123926,"we go to the south side, bloomﬁeld, homewood and take a walking tour of westoakland.we goto cranberry township when we» . talk about urban sprawl issues.",Cranberry Township,teaching/education,2000-2005
31735070124239,francis cranberry and to purchase st.,Cranberry Township,UPMC hospital,2000-2005
31735070124361,"koh1’s. department store v in cranberry township,_pa.,_ first on _ saturday. .",Cranberry Township,politics/activism,2000-2005
31735070124478,"i so gm,,°.s ,8 ha,,1m,ma,, § 3;“ e d 9 g g a a .3 2 $1 butler, beaver and cranberry, and addition, . the purchasing families wm“ .",Cranberry Township,outreach/nonprofit organization,2000-2005
31735070125103,"royal blvd 8:30 — 5:00 belle vernon, rostraver, century iii mall 8:30 5:00 donora, rostraver ‘8:00 4:30 ‘ evans city rt 528, cranberry, wexford 8:30 — 5:00 garden city, penn hills.",Cranberry Township,transit,2000-2005
31735070125228,"4 ""the deacidiﬁcation process will be done at preservation technologies in cranberry, the onlymass deacidiﬁcation facility. in i the nation.",Cranberry Township,teaching/education,2000-2005
31735070125228_1,"chris ‘ozaeta, janet henderson, tim= berry & bill zona; cranberry mall, titusville, 10 am3 pm upmc/panthers/steelers sportsfest open house upmc sports performance complex, south side, 11 am4 pm (6473555) ' .",Cranberry Township,event,2000-2005
31735070125236,"and as these ethnic groups become increasingly prosperous, will such students have the cultural tools needed to interact on an individual basis with a person of a continued onpage 4 richard hugh mccoy, emeritus professor of biochemistry and associate dean emeritus of the faculty of arts and sciences, died oct. 10, 2000, at sherwood oaks retirement community in cranberry township.",Cranberry Township,obituary,2000-2005
31735070125277,"(vogel) bianculli; three sons, thomas]. of cranberry, paul d. of swissvale and arthur v. of carrick; three brothers, thomas a. of pennhills, victor m."" of plum and i virgil d. of fort lauderdale, fla.; six grandchildren, and one greatgrandchild.",Cranberry Township,obituary,2000-2005
31735070125376,new ramps will connect route 228 and i79 in the cranberry area.,Cranberry Township,transit,2000-2005
31735070130301,"hiring now for these areas: cranberry, north hills, robinson, ' and beaver counties: call 41 27884494 century lll & south hills . .4128331252 ' monroevllle or greensburg 4128568322 / 1 7248329882 services shadyside hotel seeks front desk clerk parttime 8:00am to 4:00pm. and 4:00pm to midnight. schedule classes. 6219280 or 6835014.",Cranberry Township,job ad,2000-2005
31735070131044,"e ci""¢e ml5 snowcnss east shuwcasendrth showcasewest carmlke10 cranberryb ,;,“m',:,g3',;,‘g;*; 5°5“j¥“h‘f;§‘,§,'3“§ """"""'""t""'“""""""' mcknlgh‘|'rd. noamnourwn. 1coucunu. ~r:‘i?",Cranberry Township,event,2000-2005
31735070132679,"b: 724.772.7026ext.27 saturdays at 8:30 pm 216 mystic pine trail in cranberry twp. www.sh iftnow.com shtft bus shuttle university of pittsburgh saturdays, 7 pm @ hillman library (corner of forbes ave.",Cranberry Township,event,2000-2005
31735070132687,"daryl metcalfe, rcranberry, said in a pittsburgh postgazette article that pennsylvania’s state legislature had “sent a clear message that we don’t support that.”",Cranberry Township,politics/activism,2000-2005
31735070133479,"box, 1703, cranberry township, pa 16066.",Cranberry Township,job ad,2000-2005
31735070123843,"she is survived by sons erik n. and matthew s., and daughter katharine _~ “katy” n;, all of forest hills.",Forest Hills,obituary,2000-2005
31735070124015,e i forest hills/churchill residential lot 60x125 all utilities. 1 block .,Forest Hills,housing ad,2000-2005
31735070124650,"in addition to his son, david, mulgrave is survived by his wife, margaret; a daughter, anne mulgrave of franklin park, a sister, johanna gray of forest hills, and two grandchildren.",Forest Hills,obituary,2000-2005
